City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
280,Puerto Escondido,MX,83.23,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
284,Poum,NC,81.07,overcast clouds,-20.2333,164.0167,
288,Rawson,AR,89.8,clear sky,-43.3002,-65.1023,Hosteria Sampedro
293,Gabriel Leyva Solano,MX,77.11,clear sky,25.6667,-108.6417,Galeras Del Empaque Sacramento
295,Sorong,ID,78.96,broken clouds,-0.8833,131.25,Waigo Splash Hotel
296,Saint-Georges,GD,85.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
297,San Vicente,AR,82.92,clear sky,-26.6167,-54.1333,Complejo Turístico Farelluk
303,Galle,LK,79.38,overcast clouds,6.0367,80.217,Amangalla
311,Canto Do Buriti,BR,89.4,moderate rain,-8.11,-42.9444,Novo Hotel
314,Yaan,NG,89.51,scattered clouds,7.3833,8.5667,
319,Salinopolis,BR,82.98,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
321,Buala,SB,81.43,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
326,La Palma,US,77.76,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
329,Marsh Harbour,BS,75.04,clear sky,26.5412,-77.0636,Abaco Beach Resort
330,Amahai,ID,77.9,broken clouds,-3.3333,128.9167,HOTEL ISABELA
336,Port Blair,IN,78.84,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
345,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
349,Puerto Madero,MX,82.92,few clouds,14.7208,-92.4215,Hospedaje madero
355,Matara,LK,75.85,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
356,Mahibadhoo,MV,82.18,clear sky,3.7833,72.9667,Omadhoo Inn
357,Isangel,VU,79.86,overcast clouds,-19.55,169.2667,Tanna Lodge
359,Llano De Piedra,PA,87.58,scattered clouds,7.6667,-80.5667,
360,Morant Bay,JM,83.82,few clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
362,Latung,PH,81.48,overcast clouds,5.5,120.8833,
363,Bambanglipuro,ID,76.35,overcast clouds,-7.95,110.2833,Puri Brata
368,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
369,Tautira,PF,80.62,overcast clouds,-17.7333,-149.15,Pension Oaoa
372,Kilindoni,TZ,81.12,overcast clouds,-7.9139,39.6668,Bustani B&B
374,Tomatlan,MX,87.82,scattered clouds,19.9333,-105.25,El Salvial
379,Yulara,AU,80.44,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
382,Wewak,PG,79.39,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
383,Nsanje,MW,76.05,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
390,Pauini,BR,82.74,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
397,Pemangkat,ID,77.05,heavy intensity rain,1.1667,108.9667,Ramah Kost KITA
400,Gagnoa,CI,85.44,overcast clouds,6.1293,-5.9437,Residence Kiliyo
403,Lamu,KE,77.61,scattered clouds,-2.2717,40.902,Lamu House
405,Chirongui,YT,76.93,light rain,-12.9319,45.1483,La Villa Mahatsara
409,Praia,CV,79.34,clear sky,14.9215,-23.5087,LT Aparthotel
411,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
425,Manggar,ID,78.58,overcast clouds,-2.8833,108.2667,Guest Hotel
427,Portel,BR,82.42,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
432,Tambura,SS,76.96,overcast clouds,5.6,27.4667,Rikito Lodge
433,Palu,ID,75.56,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
435,Tingo Maria,PE,77.31,light rain,-9.2895,-76.0088,Hospedaje Paraíso
439,Phalaborwa,ZA,78.08,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
441,Ziniare,BF,89.64,clear sky,12.5822,-1.2983,Privilège Hôtel de Ziniaré
442,Bataipora,BR,86.07,clear sky,-22.2953,-53.2711,Hotel Vale do Ivinhema
