City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
123,Georgetown,MY,5.4112,100.3354,80.53,95,20,0.0,few clouds
124,Trairi,BR,-3.2778,-39.2689,84.88,62,72,10.58,broken clouds
125,Fuerte Olimpo,PY,-21.0415,-57.8738,97.36,18,21,9.24,few clouds
126,Ilulissat,GL,69.2167,-51.1,10.42,67,100,20.71,overcast clouds
127,Port Hardy,CA,50.6996,-127.4199,44.78,93,75,4.61,light intensity shower rain
128,Nizhneye Kazanishche,RU,42.7637,47.1603,25.32,82,83,3.53,broken clouds
129,Macamic,CA,48.7502,-78.9996,17.83,90,100,8.99,light snow
130,Kentville,CA,45.0835,-64.4988,35.78,81,100,5.75,overcast clouds
131,Gizo,SB,-8.103,156.8419,82.26,79,100,9.48,light rain
132,Muscat,OM,23.6139,58.5922,68.02,54,0,11.05,clear sky
133,Maraba,BR,-5.3686,-49.1178,87.98,70,40,5.75,scattered clouds
134,Bethel,US,41.3712,-73.414,37.17,88,100,4.61,snow
135,Anchorage,US,61.2181,-149.9003,25.25,77,0,10.36,clear sky
136,Saint Anthony,US,45.0205,-93.218,14.92,69,100,5.75,overcast clouds
137,Saint-Philippe,RE,-21.3585,55.7679,78.39,89,100,11.92,light rain
138,Luanda,AO,-8.8368,13.2343,82.4,61,0,10.36,clear sky
139,Dingle,PH,10.9995,122.6711,75.25,90,11,8.55,few clouds
140,Alofi,NU,-19.0595,-169.9187,71.49,100,100,6.91,overcast clouds
141,Kirakira,SB,-10.4544,161.9205,80.33,87,100,10.98,light rain
142,Hofn,IS,64.2539,-15.2082,31.26,67,83,24.36,light snow
143,Bubaque,GW,11.2833,-15.8333,77.76,69,58,15.1,broken clouds
144,Kemin,KG,42.7846,75.6892,25.18,80,100,2.53,overcast clouds
145,Dauphin,CA,51.1494,-100.0502,30.34,69,0,11.5,clear sky
146,Cidreira,BR,-30.1811,-50.2056,78.06,46,0,16.04,clear sky
147,Komsomolskiy,UZ,40.4272,71.7189,36.32,87,99,2.3,mist
148,Impfondo,CG,1.6381,18.0667,79.93,24,20,1.36,few clouds
149,Zlobin,HR,45.2924,14.6541,40.3,30,0,9.22,clear sky
150,Upernavik,GL,72.7868,-56.1549,-7.29,95,100,9.91,light snow
